experiment,model,item,flipped,reverse_coded_x,score,reverse_coded_y,score_top_n,reverse_coded,category
AUDIT scale,Apertus-70B-Instruct-2509,1,no,False,0.8613618979047448,False,0.29661597554164226,,
AUDIT scale,Apertus-70B-Instruct-2509,1,yes,False,0.9653926865843812,False,1.0,,
AUDIT scale,Apertus-70B-Instruct-2509,2,no,False,2.2633638468469703,False,1.2615962438989874,,
AUDIT scale,Apertus-70B-Instruct-2509,2,yes,False,2.946935523168452,False,3.000000000000001,,
AUDIT scale,Apertus-70B-Instruct-2509,3,no,False,0.5124806114972287,False,0.0,,
AUDIT scale,Apertus-70B-Instruct-2509,3,yes,False,1.1340694440894612,False,2.4058282456229265,,
AUDIT scale,Apertus-70B-Instruct-2509,4,no,False,0.9522815679301153,False,0.7468110885797161,,
AUDIT scale,Apertus-70B-Instruct-2509,4,yes,False,1.5532266424064989,False,2.9101279665166477,,
AUDIT scale,Apertus-70B-Instruct-2509,5,no,False,0.1945832416913255,False,0.04128939065533593,,
AUDIT scale,Apertus-70B-Instruct-2509,5,yes,False,0.09417219832607468,False,0.0,,
AUDIT scale,Apertus-70B-Instruct-2509,6,no,False,0.2056863817293885,False,0.07189469007894485,,
AUDIT scale,Apertus-70B-Instruct-2509,6,yes,False,0.15096306096714646,False,0.20919167709069897,,
AUDIT scale,Apertus-70B-Instruct-2509,7,no,False,0.02133534789306589,False,0.0723588002479652,,
AUDIT scale,Apertus-70B-Instruct-2509,7,yes,False,0.009725315732483399,False,0.018797233122838052,,
AUDIT scale,Apertus-70B-Instruct-2509,8,no,False,0.3892513373170722,False,0.25985990628926803,,
AUDIT scale,Apertus-70B-Instruct-2509,8,yes,False,0.45304595334860764,False,1.0108161386901158,,
AUDIT scale,Apertus-70B-Instruct-2509,9,no,False,0.3638513868988438,False,0.953922199080697,,
AUDIT scale,Apertus-70B-Instruct-2509,9,yes,False,0.2895349781190793,False,0.5744328988071631,,
AUDIT scale,Apertus-70B-Instruct-2509,10,no,False,0.1099613230595465,False,0.0,,
AUDIT scale,Apertus-70B-Instruct-2509,10,yes,False,1.0380515235941439,False,2.692524451555519,,
AUDIT scale,Apertus-70B-Instruct-2509,11,no,False,0.16522388094892182,False,0.04065256417230187,,
AUDIT scale,Apertus-70B-Instruct-2509,11,yes,False,0.5197270429854486,False,2.249117294276933,,
AUDIT scale,Apertus-8B-Instruct-2509,1,no,False,0.9254117337938266,False,1.0,,
AUDIT scale,Apertus-8B-Instruct-2509,1,yes,False,0.9290659188028458,False,1.0,,
AUDIT scale,Apertus-8B-Instruct-2509,2,no,False,1.7816431699116606,False,1.198654078810769,,
AUDIT scale,Apertus-8B-Instruct-2509,2,yes,False,2.8980086098958067,False,3.0,,
AUDIT scale,Apertus-8B-Instruct-2509,3,no,False,0.7013439102462442,False,1.0,,
AUDIT scale,Apertus-8B-Instruct-2509,3,yes,False,0.908842157772146,False,1.853721694018786,,
AUDIT scale,Apertus-8B-Instruct-2509,4,no,False,0.9062803059466656,False,0.25606280505112206,,
AUDIT scale,Apertus-8B-Instruct-2509,4,yes,False,1.136027404531286,False,1.0508491337315433,,
AUDIT scale,Apertus-8B-Instruct-2509,5,no,False,0.13146070501505056,False,0.0,,
AUDIT scale,Apertus-8B-Instruct-2509,5,yes,False,0.20395972473435922,False,0.06728730768693159,,
AUDIT scale,Apertus-8B-Instruct-2509,6,no,False,0.12299735594133082,False,0.0,,
AUDIT scale,Apertus-8B-Instruct-2509,6,yes,False,0.28917013150657883,False,0.9708547640779402,,
AUDIT scale,Apertus-8B-Instruct-2509,7,no,False,0.008482443603130387,False,0.0,,
AUDIT scale,Apertus-8B-Instruct-2509,7,yes,False,0.022907097228216565,False,0.05180475163833662,,
AUDIT scale,Apertus-8B-Instruct-2509,8,no,False,0.22451370560329842,False,0.0,,
AUDIT scale,Apertus-8B-Instruct-2509,8,yes,False,0.42996084158016756,False,0.2956406129988495,,
AUDIT scale,Apertus-8B-Instruct-2509,9,no,False,0.15783663855230531,False,0.0,,
AUDIT scale,Apertus-8B-Instruct-2509,9,yes,False,0.405800848088128,False,1.0495926937808828,,
AUDIT scale,Apertus-8B-Instruct-2509,10,no,False,0.05862084258020131,False,0.0,,
AUDIT scale,Apertus-8B-Instruct-2509,10,yes,False,0.2928152105736291,False,0.8147933427567213,,
AUDIT scale,Apertus-8B-Instruct-2509,11,no,False,0.03575925698106486,False,0.0,,
AUDIT scale,Apertus-8B-Instruct-2509,11,yes,False,1.0742552274609602,False,2.9875777533541967,,
AUDIT scale,Falcon-3-10B-Instruct,1,no,False,0.9693578969793738,False,1.0,,
AUDIT scale,Falcon-3-10B-Instruct,1,yes,False,0.7147484193108781,False,0.11482625587273852,,
AUDIT scale,Falcon-3-10B-Instruct,2,no,False,1.7324452089656508,False,1.0551585023841104,,
AUDIT scale,Falcon-3-10B-Instruct,2,yes,False,2.4994098788694745,False,2.7780418181611695,,
AUDIT scale,Falcon-3-10B-Instruct,3,no,False,0.7917864574596835,False,0.8242930024336467,,
AUDIT scale,Falcon-3-10B-Instruct,3,yes,False,1.163458719182006,False,2.071751579856685,,
AUDIT scale,Falcon-3-10B-Instruct,4,no,False,0.9914768853089821,False,0.8849361422135914,,
AUDIT scale,Falcon-3-10B-Instruct,4,yes,False,1.3017573711136317,False,1.7619178593727158,,
AUDIT scale,Falcon-3-10B-Instruct,5,no,False,0.42316987209287404,False,0.9096088896182858,,
AUDIT scale,Falcon-3-10B-Instruct,5,yes,False,0.4438681173782364,False,1.1098370620058384,,
AUDIT scale,Falcon-3-10B-Instruct,6,no,False,0.30812255237972946,False,0.7764378528203494,,
AUDIT scale,Falcon-3-10B-Instruct,6,yes,False,0.3227671674443113,False,0.8004300485463149,,
AUDIT scale,Falcon-3-10B-Instruct,7,no,False,0.04948984894686015,False,0.1590737393779107,,
AUDIT scale,Falcon-3-10B-Instruct,7,yes,False,0.07585578282728746,False,0.21862475227283787,,
AUDIT scale,Falcon-3-10B-Instruct,8,no,False,0.4870267235575021,False,0.7080440085117253,,
AUDIT scale,Falcon-3-10B-Instruct,8,yes,False,0.9294658569651335,False,1.6795205283210826,,
AUDIT scale,Falcon-3-10B-Instruct,9,no,False,0.4408713897338311,False,0.567224002676881,,
AUDIT scale,Falcon-3-10B-Instruct,9,yes,False,0.9109682791448678,False,1.3195178542392365,,
AUDIT scale,Falcon-3-10B-Instruct,10,no,False,0.16390476312562657,False,0.0,,
AUDIT scale,Falcon-3-10B-Instruct,10,yes,False,0.0907742420444883,False,0.0,,
AUDIT scale,Falcon-3-10B-Instruct,11,no,False,0.08724081743526775,False,0.0,,
AUDIT scale,Falcon-3-10B-Instruct,11,yes,False,0.14825090814317343,False,0.3163043692134567,,
AUDIT scale,Falcon-3-1B-Instruct,1,no,False,0.9368469897397977,False,1.0,,
AUDIT scale,Falcon-3-1B-Instruct,1,yes,False,0.9092960558263434,False,0.3416717973287216,,
AUDIT scale,Falcon-3-1B-Instruct,2,no,False,2.4785717916897676,False,3.1006646984774444,,
AUDIT scale,Falcon-3-1B-Instruct,2,yes,False,2.1667026964090286,False,2.0,,
AUDIT scale,Falcon-3-1B-Instruct,3,no,False,0.2998412450680679,False,0.0,,
AUDIT scale,Falcon-3-1B-Instruct,3,yes,False,0.797941214542057,False,0.32387529318863767,,
AUDIT scale,Falcon-3-1B-Instruct,4,no,False,0.7697397903487302,False,0.0,,
AUDIT scale,Falcon-3-1B-Instruct,4,yes,False,1.3180582672442462,False,2.7144795444358665,,
AUDIT scale,Falcon-3-1B-Instruct,5,no,False,0.16937129218604946,False,0.0,,
AUDIT scale,Falcon-3-1B-Instruct,5,yes,False,0.39731967282215985,False,1.1264964348555864,,
AUDIT scale,Falcon-3-1B-Instruct,6,no,False,0.11905088398754513,False,0.0,,
